date,title,media_type,url
2024-07-17,Villarrica Volcano Against the Sky,video,https://www.youtube.com/embed/aX4ozspTPQY?rel=0
2024-07-18,Messier 24: Sagittarius Star Cloud,image,https://apod.nasa.gov/apod/image/2407/M24-HaLRGB-RC51_1024.jpg
2024-07-19,Anticrepuscular Rays at the Planet Festival,image,https://apod.nasa.gov/apod/image/2407/2024-07-11Pavel_1024p.jpg
2024-07-20,Apollo 11 Landing Panorama,image,https://apod.nasa.gov/apod/image/2407/a11pan1040226lftsm600.jpg
2024-07-21,King of Wings Hoodoo under the Milky Way,image,https://apod.nasa.gov/apod/image/2407/KingOfWings_Pinkston_960.jpg
2024-07-22,Chamaeleon Dark Nebulas,image,https://apod.nasa.gov/apod/image/2407/VeeChamaeleon_Lee_960.jpg
2024-07-23,The Crab Nebula from Visible to X-Ray,image,https://apod.nasa.gov/apod/image/2407/Crab_MultiChandra_960.jpg
2024-07-24,Exaggerated Moon,image,https://apod.nasa.gov/apod/image/2407/ExaggeratedMoon_Ibatulin_960.jpg
2024-07-25,NGC 7023: The Iris Nebula,image,https://apod.nasa.gov/apod/image/2407/NGC7023_LRGB_fin_sig1024.jpg
2024-07-26,Facing NGC 6946,image,https://apod.nasa.gov/apod/image/2407/NGC6946_verB1024c.jpg
2024-07-27,Saturn at the Moon's Edge,image,https://apod.nasa.gov/apod/image/2407/MoonSaturnOcc_Xu20240725_1024.jpg
2024-07-28,Sun Dance,video,https://www.youtube.com/embed/hQFEHH5E69s?rel=0
2024-07-29,Milky Way over Uluru,image,https://apod.nasa.gov/apod/image/2407/UluruMilkyWay_Inwood_960.jpg
2024-07-30,Arp 142: Interacting Galaxies from Webb,image,https://apod.nasa.gov/apod/image/2407/Arp142_Webb_960.jpg
2024-07-31,Leopard Spots on Martian Rocks,image,https://apod.nasa.gov/apod/image/2407/LeopardSpots_Perseverance_960.jpg
2024-08-01,Comet Olbers over Kunetice Castle,image,https://apod.nasa.gov/apod/image/2408/2024_07_28_Olbers_Kunka_Kunetice_1024px.jpg
2024-08-02,Mars Passing By,image,https://apod.nasa.gov/apod/image/2408/2024MaUrM45_1024.jpg
2024-08-03,Glory and Fog Bow,image,https://apod.nasa.gov/apod/image/2408/GloryFog_label.png
2024-08-04,Gaia: Here Comes the Sun,video,https://www.youtube.com/embed/XORui0wFKnE?rel=0
2024-08-05,Milky Way Over Tunisia,image,https://apod.nasa.gov/apod/image/2408/LarsMilkyWay_Larnaout_960.jpg
2024-08-06,Storm Cloud Over Texas,image,https://apod.nasa.gov/apod/image/2408/StormCloud_Rowe_960.jpg
2024-08-07,Milky Way Behind Three Merlons,image,https://apod.nasa.gov/apod/image/2408/DolomitesSky_Lioce_960.jpg
2024-08-08,Periodic Comet Swift-Tuttle,image,https://apod.nasa.gov/apod/image/2408/Rhemann799_109P_24_11_92_1100px.jpg
2024-08-09,A Perseid Below,image,https://apod.nasa.gov/apod/image/2408/perseid_iss_4256_1024c.jpg
